ime;ekipa;pozicija;tekme;točke;podaje;skoki
Miles McBride;NYK;PG;64;'9.5';'2.9';'2.5'
Jalen Wilson;BRK;PF;79;'9.5';'1.8';'3.4'
Nickeil Alexander-Walker;MIN;SG;82;'9.4';'2.7';'3.2'
Cole Anthony;ORL;PG;67;'9.4';'2.9';'3.0'
Anthony Black;ORL;PG;78;'9.4';'3.1';'2.9'
Max Strus;CLE;SF;50;'9.4';'3.2';'4.3'
Tristan Vukcevic;WAS;C;35;'9.4';'1.1';'3.7'
Cam Whitmore;HOU;SF;51;'9.4';'1.0';'3.0'
Nick Richards;CHO;C;21;'8.9';'1.3';'7.5'
Nick Richards;PHO;C;36;'9.5';'0.6';'8.6'
Kel'el Ware;MIA;C;64;'9.3';'0.9';'7.4'
Zach Edey;MEM;C;66;'9.2';'1.0';'8.3'
Wendell Carter Jr.;ORL;C;68;'9.1';'2.0';'7.2'
Noah Clowney;BRK;PF;46;'9.1';'0.9';'3.9'
Dalton Knecht;LAL;SF;78;'9.1';'0.8';'2.8'
A.J. Lawson;TOR;SG;26;'9.1';'1.2';'3.3'
T.J. McConnell;IND;PG;79;'9.1';'4.4';'2.4'
Yves Missi;NOP;C;73;'9.1';'1.4';'8.2'
Royce O'Neale;PHO;SF;75;'9.1';'2.2';'4.7'
Jared Butler;WAS;PG;32;'6.9';'2.6';'1.3'
Jared Butler;PHI;SG;28;'11.5';'4.9';'2.5'
Marcus Smart;MEM;PG;19;'8.7';'3.7';'2.3'
Marcus Smart;WAS;PG;15;'9.3';'2.5';'1.9'
Draymond Green;GSW;PF;68;'9.0';'5.6';'6.1'
Killian Hayes;BRK;PG;6;'9.0';'5.2';'3.0'
Al Horford;BOS;C;60;'9.0';'2.1';'6.2'
Julian Strawther;DEN;SG;65;'9.0';'1.3';'2.2'
Patrick Williams;CHI;PF;63;'9.0';'2.0';'3.8'
Jusuf Nurkić;PHO;C;25;'8.6';'1.9';'9.2'
Jusuf Nurkić;CHO;C;26;'9.2';'2.6';'6.5'
Clint Capela;ATL;C;55;'8.9';'1.1';'8.5'
Johnny Juzang;UTA;SG;64;'8.9';'1.1';'2.9'
Luke Kennard;MEM;SG;65;'8.9';'3.3';'2.8'
Justin Champagnie;WAS;SF;62;'8.8';'1.0';'5.7'
Svi Mykhailiuk;UTA;SF;38;'8.8';'2.0';'2.4'
Chris Paul;SAS;PG;82;'8.8';'7.4';'3.6'
Kelly Olynyk;TOR;C;24;'7.1';'2.3';'3.7'
Kelly Olynyk;NOP;C;20;'10.7';'3.6';'5.9'
Dorian Finney-Smith;BRK;PF;20;'10.4';'1.6';'4.6'
Dorian Finney-Smith;LAL;PF;43;'7.9';'1.4';'3.6'
Oshae Brissett;PHI;SF;6;'8.7';'0.7';'3.7'
Kentavious Caldwell-Pope;ORL;SG;77;'8.7';'1.8';'2.2'
Isaiah Collier;UTA;PG;71;'8.7';'6.3';'3.3'
Dante Exum;DAL;PG;20;'8.7';'2.8';'1.7'
Kyshawn George;WAS;SG;68;'8.7';'2.5';'4.2'
Jaden Hardy;DAL;SG;57;'8.7';'1.4';'1.6'
Dereck Lively II;DAL;C;36;'8.7';'2.4';'7.5'
Tyrese Martin;BRK;SG;60;'8.7';'2.0';'3.7'
Matas Buzelis;CHI;SF;80;'8.6';'1.0';'3.5'
Jaime Jaquez Jr.;MIA;SF;66;'8.6';'2.5';'4.4'
Ja'Kobe Walter;TOR;SG;52;'8.6';'1.6';'3.1'
Sam Hauser;BOS;PF;71;'8.5';'0.9';'3.2'
